agent,sample,time_s,x_m,y_m,yaw_rad_unwrapped,yaw_deg_unwrapped,fd_vx_mps,fd_vy_mps,fd_speed_mps,fd_omega_radps,fd_ax_mps2,fd_ay_mps2,fd_acceleration_mps2,fd_alpha_radps2
0,0,0.0,1.3,0.2,0.0,0.0,1.0000000000000018,-6.661338147750939e-16,1.0000000000000018,0.0,-2.3092638912203256e-14,2.220446049250313e-14,3.203604279077764e-14,0.0
0,1,0.05,1.3500000000000003,0.2,0.0,0.0,1.0,0.0,1.0,0.0,-5.3290705182007514e-14,4.4408920985006246e-15,5.347542221830668e-14,0.0
0,2,0.1,1.4000000000000001,0.2,0.0,0.0,0.9999999999999964,-2.220446049250313e-16,0.9999999999999964,0.0,-3.730349362740526e-14,-1.2325951644078304e-30,3.730349362740526e-14,0.0
0,3,0.15000000000000002,1.4500000000000002,0.2,0.0,0.0,0.9999999999999964,0.0,0.9999999999999964,0.0,1.7763568394002505e-14,2.220446049250312e-15,1.790180836524724e-14,0.0
0,4,0.2,1.5,0.2,0.0,0.0,0.9999999999999982,0.0,0.9999999999999982,0.0,5.3290705182007514e-14,4.440892098500628e-15,5.347542221830668e-14,0.0
0,5,0.25,1.55,0.2,0.0,0.0,1.0000000000000018,4.440892098500626e-16,1.0000000000000018,0.0,1.9539925233402755e-14,-4.44089209850061e-15,2.003821850258887e-14,0.0
0,6,0.30000000000000004,1.6,0.2,0.0,0.0,1.0,-4.440892098500626e-16,1.0,0.0,-1.7763568394002505e-14,-4.44089209850061e-15,1.8310267194088944e-14,0.0
0,7,0.35000000000000003,1.6500000000000001,0.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.440892098500628e-15,4.440892098500628e-15,0.0
0,8,0.4,1.7000000000000002,0.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,9,0.45,1.75,0.2,0.0,0.0,1.0,0.0,1.0,0.0,-3.9999999999999876,4.440892098500628e-15,3.9999999999999876,0.0
0,10,0.5,1.8,0.2,0.0,0.0,0.6000000000000014,4.440892098500626e-16,0.6000000000000014,0.0,-8.000000000000004,9.86076131526264e-30,8.000000000000004,0.0
0,11,0.55,1.8100000000000003,0.2,0.0,0.0,0.1999999999999993,0.0,0.1999999999999993,0.0,-4.000000000000018,-4.440892098500622e-15,4.000000000000018,0.0
0,12,0.6000000000000001,1.82,0.2,0.0,0.0,0.1999999999999993,0.0,0.1999999999999993,0.0,-3.530509218307998e-14,-2.2204460492503186e-15,3.537484861753342e-14,0.0
0,13,0.65,1.83,0.2,0.0,0.0,0.19999999999999574,-2.220446049250313e-16,0.19999999999999574,0.0,3.5083047578154947e-14,-9.860761315262653e-30,3.5083047578154947e-14,0.0
0,14,0.7000000000000001,1.8399999999999999,0.2,0.0,0.0,0.20000000000000284,0.0,0.20000000000000284,0.0,2.220446049250313e-16,-1.0255191767873153e-29,2.220446049250313e-16,0.0
0,15,0.75,1.85,0.2,0.0,0.0,0.19999999999999574,-2.220446049250313e-16,0.19999999999999574,0.0,-7.127631818093505e-14,-9.860761315262653e-30,7.127631818093505e-14,0.0
0,16,0.8,1.8599999999999999,0.2,0.0,0.0,0.19999999999999574,0.0,0.19999999999999574,0.0,1.0658141036401503e-13,2.220446049250311e-15,1.0660453750117864e-13,0.0
0,17,0.8500000000000001,1.8699999999999997,0.2,0.0,0.0,0.2000000000000064,0.0,0.2000000000000064,0.0,3.574918139293004e-14,-2.2204460492503186e-15,3.581807296494672e-14,0.0
