agent,sample,time_s,x_m,y_m,yaw_rad_unwrapped,yaw_deg_unwrapped,fd_vx_mps,fd_vy_mps,fd_speed_mps,fd_omega_radps,fd_ax_mps2,fd_ay_mps2,fd_acceleration_mps2,fd_alpha_radps2
0,0,0.0,2.1,0.8,3.141592653589793,180.0,-0.20000000000000284,-2.6645352591003757e-15,0.20000000000000284,-1.4210854715202004e-14,1.7896795156957523e-13,8.881784197001252e-14,1.997952370333686e-13,4.973799150320701e-13
0,1,0.05,2.0900000000000003,0.8,3.141592653589793,180.0,-0.1999999999999993,0.0,0.1999999999999993,0.0,-3.552713678800501e-14,1.7763568394002498e-14,3.9720546451956364e-14,7.105427357601e-14
0,2,0.1,2.08,0.8,3.141592653589793,180.0,-0.2000000000000064,-8.881784197001252e-16,0.2000000000000064,-7.105427357601002e-15,4.440892098500626e-16,-4.930380657631322e-30,4.440892098500626e-16,-3.9443045261050573e-29
0,3,0.15000000000000002,2.07,0.8,3.141592653589793,180.0,-0.1999999999999993,0.0,0.1999999999999993,0.0,1.0680345496894006e-13,8.881784197001248e-15,1.0717212363214843e-13,7.105427357600998e-14
0,4,0.2,2.06,0.8,3.141592653589793,180.0,-0.19999999999999574,0.0,0.19999999999999574,0.0,0.0,1.776356839400251e-14,1.776356839400251e-14,3.552713678800502e-14
0,5,0.25,2.0500000000000003,0.8,3.141592653589793,180.0,-0.1999999999999993,1.7763568394002505e-15,0.1999999999999993,3.552713678800501e-15,-7.149836278586008e-14,-1.776356839400244e-14,7.367197732616428e-14,-3.552713678800488e-14
0,6,0.30000000000000004,2.04,0.8,3.141592653589793,180.0,-0.20000000000000284,-1.7763568394002505e-15,0.20000000000000284,-3.552713678800501e-15,-3.530509218307998e-14,-1.776356839400244e-14,3.9522068469959636e-14,-3.552713678800488e-14
0,7,0.35000000000000003,2.0300000000000002,0.8,3.141592653589793,180.0,-0.20000000000000284,0.0,0.20000000000000284,0.0,0.0,1.776356839400251e-14,1.776356839400251e-14,3.552713678800502e-14
0,8,0.4,2.02,0.8,3.141592653589793,180.0,-0.20000000000000284,0.0,0.20000000000000284,0.0,3.574918139293004e-14,0.0,3.574918139293004e-14,0.0
0,9,0.45,2.0100000000000002,0.8,3.141592653589793,180.0,-0.1999999999999993,0.0,0.1999999999999993,0.0,1.0924799880061902,-2.3537728718353277,2.5949487964855744,7.85398163397453
0,10,0.5,2.0,0.8,3.141592653589793,180.0,-0.09075200119938387,-0.23537728718353268,0.2522665119344464,0.7853981633974527,2.369349782145845,-4.693033951206907,5.257222275815935,15.707963267948978
0,11,0.55,2.0009247998800617,0.7764622712816466,3.220132469929538,184.5,0.03693497821458536,-0.46930339512069086,0.4707545743670678,1.5707963267948983,1.6439424120574473,-2.295815172006479,2.8237057138052464,7.853981633974449
0,12,0.6000000000000001,2.0036934978214584,0.7530696604879309,3.2986722862692828,189.0,0.07364224000636099,-0.4649588043841808,0.47075457436707013,1.5707963267948983,0.7296049468536483,0.11555807116538386,0.7386995642917212,-6.750155989720952e-14
0,13,0.65,2.0082890238806974,0.7299663908432285,3.3772121026090276,193.5,0.10989547289995016,-0.4577475880041524,0.4707545743670718,1.5707963267948912,0.718289236528058,0.17244598856629967,0.7386995642916467,-3.552713678800501e-15
0,14,0.7000000000000001,2.014683045111454,0.7072949016875159,3.4557519189487724,198.0,0.1454711636591668,-0.4477142055275509,0.47075457436706675,1.5707963267948983,0.7025450342040789,0.22827071910351737,0.7386995642917676,-6.750155989720952e-14
0,15,0.75,2.0228361402466137,0.6851949702904732,3.5342917352885173,202.5,0.180149976320358,-0.43492051609380056,0.4707545743670723,1.5707963267948841,0.6824694081241844,0.28268808474973905,0.7386995642917696,-3.552713678800501e-15
0,16,0.8,2.03269804274349,0.663802850078136,3.612831551628262,207.0,0.21371810447158524,-0.4194453970525771,0.47075457436707024,1.5707963267948983,0.658186131199016,0.3353625843502339,0.738699564291733,2.1316282072803006e-13
0,17,0.8500000000000001,2.0442079506937723,0.6432504305852155,3.691371367968007,211.5,0.24596858944025968,-0.40138425765877717,0.47075457436706725,1.5707963267949054,0.6298449179059773,0.38596946209870486,0.7386995642917024,-6.750155989720952e-14
0,18,0.9,2.057294901687516,0.6236644243122581,3.7699111843077517,216.0,0.27670259626218296,-0.3808484508427066,0.4707545743670709,1.5707963267948912,0.597620500845863,0.4341967097619919,0.7386995639631849,-7.460698725481052e-14
0,19,0.9500000000000001,2.0718782103199906,0.605165585500945,3.8484510006474966,220.5,0.305730639524846,-0.357964586682578,0.4707545743411319,1.5707963267948983,0.5617115550699485,0.4797469903280489,0.73869956398249,7.460698725481052e-14
0,20,1.0,2.08786796564,0.5878679656440001,3.9269908169872414,225.0,0.3328737517691778,-0.33287375180990164,0.47075457433878237,1.5707963267948983,0.5223394715737579,0.5223394711737948,0.7386995645795875,-7.460698725481052e-14
0,21,1.05,2.105165585496909,0.571878210319955,4.005530633326987,229.50000000000003,0.35796458668222186,-0.30573063956519864,0.47075457436706797,1.5707963267948912,0.4797469907352787,0.5617115554771774,0.7386995645566239,-7.105427357601002e-14
0,22,1.1,2.123664424308222,0.5572949016874802,4.084070449666731,234.0,0.3808484508427057,-0.27670259626218385,0.47075457436707074,1.5707963267948912,0.4341967097655437,0.5976205012493714,0.7386995642917178,7.105427357601002e-14
0,23,1.1500000000000001,2.1432504305811797,0.5442079506937366,4.162610266006476,238.50000000000003,0.4013842576587763,-0.24596858944026145,0.4707545743670674,1.5707963267948983,0.38596946209864313,0.629844917906003,0.738699564291692,-7.105427357601002e-14
0,24,1.2000000000000002,2.1638028500741,0.532698042743454,4.241150082346221,243.0,0.41944539705257,-0.21371810447158346,0.47075457436706314,1.5707963267948841,0.33536258435031385,0.6581861311990447,0.7386995642917947,6.750155989720952e-14
0,25,1.25,2.185194970286437,0.5228361402465783,4.319689898685965,247.49999999999997,0.43492051609380766,-0.18014997632035712,0.4707545743670785,1.5707963267949054,0.28268808474983675,0.6824694081241405,0.7386995642917664,1.4566126083082054e-13
0,26,1.3,2.20729490168348,0.5146830451114183,4.39822971502571,252.0,0.4477142055275536,-0.14547116365916946,0.47075457436707013,1.5707963267948983,0.22827071910338415,0.7025450342040422,0.7386995642916916,-1.4210854715202004e-13
0,27,1.35,2.2299663908391927,0.5082890238806613,4.476769531365456,256.5,0.45774758800414617,-0.10989547289995283,0.47075457436706636,1.5707963267948912,0.1724459885662446,0.7182892365281461,0.7386995642917197,0.0
0,28,1.4000000000000001,2.2530696604838947,0.503693497821423,4.5553093477052,261.0,0.46495880438417814,-0.07364224000635478,0.4707545743670665,1.5707963267948983,0.11555807156899078,0.729604946857218,0.738699564358385,0.0
0,29,1.4500000000000002,2.2764622712776106,0.5009247998800259,4.633849164044945,265.5,0.46930339516104524,-0.036934978214230973,0.47075457440727,1.5707963267948912,0.07246949350349663,0.7358522301954828,0.7394121531137551,-7.460698725481052e-14
0,30,1.5,2.3,0.5,4.71238898038469,270.0,0.4722057537345279,-5.701698680660172e-05,0.4722057571768163,1.5707963267948912,0.043624849435808244,0.7392662189014971,0.7405522735750754,7.105427357601002e-14
1,0,0.0,1.18786796564,0.512132034356,2.356194490192345,135.0,-1.7763568394002505e-15,-1.7763568394002505e-15,2.5121479338940403e-15,-1.7763568394002505e-14,8.881784197001252e-14,6.217248937900877e-14,1.0841599276764049e-13,5.684341886080801e-13
1,1,0.05,1.1878679656400002,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,-1.77635683940025e-14,8.88178419700125e-15,1.9860273225978182e-14,1.4210854715202e-13
1,2,0.1,1.18786796564,0.512132034356,2.356194490192345,135.0,-3.552713678800501e-15,-8.881784197001252e-16,3.66205343881779e-15,-3.552713678800501e-15,-1.9721522630525287e-29,-4.930380657631322e-30,2.0328480225916204e-29,-1.9721522630525287e-29
1,3,0.15000000000000002,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,3.552713678800499e-14,8.881784197001248e-15,3.662053438817788e-14,3.552713678800499e-14
1,4,0.2,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,1.776356839400251e-14,8.881784197001255e-15,1.986027322597819e-14,3.552713678800502e-14
1,5,0.25,1.18786796564,0.512132034356,2.356194490192345,135.0,1.7763568394002505e-15,8.881784197001252e-16,1.9860273225978185e-15,3.552713678800501e-15,-1.776356839400244e-14,-8.88178419700122e-15,1.9860273225978112e-14,-3.552713678800488e-14
1,6,0.30000000000000004,1.18786796564,0.512132034356,2.356194490192345,135.0,-1.7763568394002505e-15,-8.881784197001252e-16,1.9860273225978185e-15,-3.552713678800501e-15,-1.776356839400244e-14,-8.88178419700122e-15,1.9860273225978112e-14,-3.552713678800488e-14
1,7,0.35000000000000003,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,1.776356839400251e-14,8.881784197001255e-15,1.986027322597819e-14,3.552713678800502e-14
1,8,0.4,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0.45,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,1.776356839400251e-14,8.881784197001255e-15,1.986027322597819e-14,3.552713678800502e-14
1,10,0.5,1.18786796564,0.512132034356,2.356194490192345,135.0,1.7763568394002505e-15,8.881784197001252e-16,1.9860273225978185e-15,3.552713678800501e-15,3.944304526105056e-29,1.972152263052528e-29,4.4098665221655e-29,7.888609052210112e-29
1,11,0.55,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552713678800498e-14
1,12,0.6000000000000001,1.18786796564,0.512132034356,2.356194490192345,135.0,1.7763568394002505e-15,8.881784197001252e-16,1.9860273225978185e-15,7.105427357601002e-15,-1.7763568394002628e-14,-8.881784197001314e-15,1.986027322597832e-14,-7.105427357601051e-14
1,13,0.65,1.18786796564,0.512132034356,2.356194490192345,135.0,-1.7763568394002505e-15,-8.881784197001252e-16,1.9860273225978185e-15,-7.105427357601002e-15,-1.609276246650864e-28,-8.04638123325432e-29,1.799225541043525e-28,-6.437104986603456e-28
1,14,0.7000000000000001,1.18786796564,0.512132034356,2.356194490192345,135.0,1.7763568394002505e-15,8.881784197001252e-16,1.9860273225978185e-15,7.105427357601002e-15,-1.609276246650864e-28,-8.04638123325432e-29,1.799225541043525e-28,-6.437104986603456e-28
1,15,0.75,1.18786796564,0.512132034356,2.356194490192345,135.0,-1.7763568394002505e-15,-8.881784197001252e-16,1.9860273225978185e-15,-7.105427357601002e-15,-1.7763568394002628e-14,-8.881784197001314e-15,1.986027322597832e-14,-7.105427357601051e-14
1,16,0.8,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,3.552713678800498e-14,1.776356839400249e-14,3.972054645195633e-14,1.421085471520199e-13
1,17,0.8500000000000001,1.18786796564,0.512132034356,2.356194490192345,135.0,1.7763568394002505e-15,8.881784197001252e-16,1.9860273225978185e-15,7.105427357601002e-15,-1.7763568394002628e-14,-8.881784197001314e-15,1.986027322597832e-14,-7.105427357601051e-14
1,18,0.9,1.18786796564,0.512132034356,2.356194490192345,135.0,-1.7763568394002505e-15,-8.881784197001252e-16,1.9860273225978185e-15,-7.105427357601002e-15,-1.609276246650864e-28,-8.04638123325432e-29,1.799225541043525e-28,-6.437104986603456e-28
1,19,0.9500000000000001,1.18786796564,0.512132034356,2.356194490192345,135.0,1.7763568394002505e-15,8.881784197001252e-16,1.9860273225978185e-15,7.105427357601002e-15,-1.609276246650864e-28,-8.04638123325432e-29,1.799225541043525e-28,-6.437104986603456e-28
1,20,1.0,1.18786796564,0.512132034356,2.356194490192345,135.0,-1.7763568394002505e-15,-8.881784197001252e-16,1.9860273225978185e-15,-7.105427357601002e-15,-1.7763568394002628e-14,-8.881784197001314e-15,1.986027322597832e-14,-7.105427357601051e-14
1,21,1.05,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,1.776356839400249e-14,8.881784197001244e-15,1.9860273225978166e-14,7.105427357600996e-14
1,22,1.1,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23,1.1500000000000001,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,-1.776356839400249e-14,0.0,1.776356839400249e-14,-3.552713678800498e-14
1,24,1.2000000000000002,1.18786796564,0.512132034356,2.356194490192345,135.0,-1.7763568394002505e-15,0.0,1.7763568394002505e-15,-3.552713678800501e-15,1.7763568394002763e-14,0.0,1.7763568394002763e-14,3.5527136788005527e-14
1,25,1.25,1.18786796564,0.512132034356,2.356194490192345,135.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,3.552713678800501e-15,1.7763568394002763e-14,0.0,1.7763568394002763e-14,3.5527136788005527e-14
1,26,1.3,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,-1.776356839400249e-14,0.0,1.776356839400249e-14,-3.552713678800498e-14
1,27,1.35,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28,1.4000000000000001,1.18786796564,0.512132034356,2.356194490192345,135.0,0.0,0.0,0.0,0.0,-1.776356839400249e-14,0.0,1.776356839400249e-14,-3.552713678800498e-14
1,29,1.4500000000000002,1.18786796564,0.512132034356,2.356194490192345,135.0,-1.7763568394002505e-15,0.0,1.7763568394002505e-15,-3.552713678800501e-15,-7.105427357601026e-14,0.0,7.105427357601026e-14,3.1554436208840553e-28
1,30,1.5,1.18786796564,0.512132034356,2.356194490192345,135.0,-7.105427357601002e-15,0.0,7.105427357601002e-15,0.0,-1.4210854715202054e-13,0.0,1.4210854715202054e-13,1.4210854715202021e-13
2,0,0.0,0.5,0.2,0.0,0.0,-2.6645352591003757e-15,-6.661338147750939e-16,2.7465400791133423e-15,0.0,8.881784197001252e-14,2.220446049250313e-14,9.155133597044475e-14,0.0
2,1,0.05,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002498e-14,4.4408920985006246e-15,1.8310267194088944e-14,0.0
2,2,0.1,0.5,0.2,0.0,0.0,-8.881784197001252e-16,-2.220446049250313e-16,9.155133597044475e-16,0.0,-4.930380657631322e-30,-1.2325951644078304e-30,5.082120056479051e-30,0.0
2,3,0.15000000000000002,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001248e-15,2.220446049250312e-15,9.15513359704447e-15,0.0
2,4,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500628e-15,4.440892098500628e-15,0.0
2,5,0.25,0.5,0.2,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,-4.44089209850061e-15,4.44089209850061e-15,0.0
2,6,0.30000000000000004,0.5,0.2,0.0,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,-4.44089209850061e-15,4.44089209850061e-15,0.0
2,7,0.35000000000000003,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500628e-15,4.440892098500628e-15,0.0
2,8,0.4,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,0.45,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500628e-15,4.440892098500628e-15,0.0
2,10,0.5,0.5,0.2,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,9.86076131526264e-30,9.86076131526264e-30,0.0
2,11,0.55,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001244e-15,-4.440892098500622e-15,9.930136612989083e-15,0.0
2,12,0.6000000000000001,0.5,0.2,0.0,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,-8.881784197001314e-15,-2.2204460492503186e-15,9.155133597044535e-15,0.0
2,13,0.65,0.5,0.2,0.0,0.0,-8.881784197001252e-16,-2.220446049250313e-16,9.155133597044475e-16,0.0,-8.04638123325432e-29,-9.860761315262653e-30,8.106577396659648e-29,0.0
2,14,0.7000000000000001,0.5,0.2,0.0,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,-8.04638123325432e-29,-1.0255191767873153e-29,8.111469690063931e-29,0.0
2,15,0.75,0.5,0.2,0.0,0.0,-8.881784197001252e-16,-2.220446049250313e-16,9.155133597044475e-16,0.0,-8.881784197001314e-15,-9.860761315262653e-30,8.881784197001314e-15,0.0
2,16,0.8,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.776356839400249e-14,2.220446049250311e-15,1.7901808365247223e-14,0.0
2,17,0.8500000000000001,0.5,0.2,0.0,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,-8.881784197001314e-15,-2.2204460492503186e-15,9.155133597044535e-15,0.0
2,18,0.9,0.5,0.2,0.0,0.0,-8.881784197001252e-16,-2.220446049250313e-16,9.155133597044475e-16,0.0,-8.04638123325432e-29,-9.860761315262653e-30,8.106577396659648e-29,0.0
2,19,0.9500000000000001,0.5,0.2,0.0,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,-8.04638123325432e-29,-1.0255191767873153e-29,8.111469690063931e-29,0.0
2,20,1.0,0.5,0.2,0.0,0.0,-8.881784197001252e-16,-2.220446049250313e-16,9.155133597044475e-16,0.0,-8.881784197001314e-15,-9.860761315262653e-30,8.881784197001314e-15,0.0
2,21,1.05,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001244e-15,2.220446049250311e-15,9.155133597044467e-15,0.0
2,22,1.1,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,23,1.1500000000000001,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001244e-15,-4.440892098500622e-15,9.930136612989083e-15,0.0
2,24,1.2000000000000002,0.5,0.2,0.0,0.0,-8.881784197001252e-16,-4.440892098500626e-16,9.930136612989092e-16,0.0,8.881784197001382e-15,2.220446049250365e-15,9.155133597044613e-15,0.0
2,25,1.25,0.5,0.2,0.0,0.0,8.881784197001252e-16,2.220446049250313e-16,9.155133597044475e-16,0.0,8.881784197001382e-15,4.440892098500671e-15,9.930136612989228e-15,0.0
2,26,1.3,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001244e-15,-2.220446049250311e-15,9.155133597044467e-15,0.0
2,27,1.35,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28,1.4000000000000001,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001244e-15,-4.440892098500622e-15,9.930136612989083e-15,0.0
2,29,1.4500000000000002,0.5,0.2,0.0,0.0,-8.881784197001252e-16,-4.440892098500626e-16,9.930136612989092e-16,0.0,1.7763568394002685e-14,3.944304526105069e-29,1.7763568394002685e-14,0.0
2,30,1.5,0.5,0.2,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,0.0,8.881784197001271e-14,1.7763568394002527e-14,9.057678187205901e-14,0.0
